Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
4/7/2011,338.1,340.43,336.03,338.08,13337400,0,1,43.45056232,43.74999979,43.18453847,43.44799204,93361800
4/6/2011,341.22,343.9,337.14,338.04,14376400,0,1,43.85152581,44.19594316,43.32718894,43.44285148,100634800
4/5/2011,336.99,342.25,336,338.89,17240400,0,1,43.30791185,43.98389516,43.18068305,43.55208833,120682800
4/4/2011,344.31,344.6,338.4,341.19,16431600,0,1,44.24863387,44.28590291,43.4891165,43.84767039,115021200
4/1/2011,351.11,351.5872,343.3,344.56,14952200,0,1,45.12252865,45.1838555,44.1188348,44.28076236,104665400
3/31/2011,346.36,349.8,346.06,348.5075,9786400,0,1,44.51208744,44.95417539,44.47353326,44.78807113,68504800
3/30/2011,350.64,350.88,347.44,348.63,11764500,0,1,45.0621271,45.09297044,44.6508825,44.80381408,82351500
3/29/2011,347.66,350.96,346.06,350.96,12603600,0,1,44.67915556,45.10325156,44.47353326,45.10325156,88225200
3/28/2011,353.15,354.32,350.44,350.44,11048400,0,1,45.38469708,45.53505839,45.03642431,45.03642431,77338800
3/25/2011,348.07,352.06,347.02,351.54,16032500,0,1,44.73184628,45.24461689,44.59690664,45.17778964,112227500
3/24/2011,341.85,346,338.86,344.97,14454000,0,1,43.93248959,44.46582243,43.54823291,44.33345307,101178000
3/23/2011,339.28,340.22,335.95,339.19,13321300,0,1,43.60220877,43.72301187,43.17425735,43.59064251,93249100
3/22/2011,342.56,342.62,339.14,341.2,11640100,0,1,44.02373448,44.03144532,43.58421681,43.84895553,81480700
3/21/2011,335.99,339.74,335.26,339.3,14621500,0,1,43.17939791,43.66132518,43.08558274,43.60477904,102350500
3/18/2011,337.13,338.2,330,330.67,26900500,0,1,43.3259038,43.46341371,42.40959942,42.49570376,188303500
3/17/2011,336.83,339.61,330.6596,334.64,23550800,0,1,43.28734962,43.64461837,42.49436722,43.0059041,164855600
3/16/2011,342,343,326.26,330.01,41500400,0,1,43.95176668,44.08028061,41.9289573,42.41088456,290502800
3/15/2011,342.1,347.84,340.1,345.43,25752900,0,1,43.96461807,44.70228807,43.70759019,44.39256948,180270300
3/14/2011,353.18,356.4844,351.31,353.56,15569900,0,1,45.3885525,45.81321395,45.14823144,45.4373878,108989300
3/11/2011,345.33,352.32,345,351.99,16824300,0,1,44.37971809,45.27803051,44.33730849,45.23562091,117770100
3/10/2011,349.12,349.77,344.9,346.67,18126400,0,1,44.86678591,44.95031997,44.3244571,44.55192677,126884800
3/9/2011,354.69,354.76,350.6,352.47,16189500,0,1,45.58260855,45.59160452,45.05698654,45.2973076,113326500
3/8/2011,354.91,357.4,352.25,355.76,12725600,0,1,45.61088161,45.93088132,45.26903454,45.72011846,89079200
3/7/2011,361.4,361.67,351.31,355.36,19504400,0,1,46.44493707,46.47963583,45.14823144,45.66871288,136530800
3/4/2011,360.07,360.29,357.75,360,16188100,0,1,46.27401353,46.3022866,45.97586119,46.26501755,113316700
3/3/2011,357.19,359.79,355.92,359.56,17885300,0,1,45.90389339,46.23802963,45.74068069,46.20847142,125197100
3/2/2011,349.96,354.35,348.4,352.12,21521100,0,1,44.97473762,45.53891381,44.77425588,45.25232773,150647700
3/1/2011,355.47,355.72,347.681,349.31,16290600,0,1,45.68284942,45.7149779,44.68185436,44.89120356,114034200
2/28/2011,351.24,355.05,351.12,353.21,14395500,0,1,45.13923546,45.62887356,45.12381379,45.39240792,100768500
2/25/2011,345.26,348.43,344.8,348.16,13572100,0,1,44.37072211,44.7781113,44.3116057,44.74341253,95004700
2/24/2011,344.02,345.15,338.37,342.88,17853600,0,1,44.21136483,44.35658558,43.48526108,44.06485894,124975200
2/23/2011,338.77,344.64,338.61,342.62,23994800,0,1,43.53666666,44.29104347,43.51610443,44.03144532,167963600
2/22/2011,342.15,345.4,337.72,338.61,31162700,0,1,43.97104377,44.38871406,43.40172702,43.51610443,218138900
2/18/2011,358.71,359.5,349.52,350.56,29144900,0,1,46.09923457,46.20076059,44.91819149,45.05184598,204014300
2/17/2011,357.25,360.27,356.52,358.3,18949400,0,1,45.91160423,46.29971632,45.81778905,46.04654386,132645800
2/16/2011,360.8,364.9,360.5,363.13,17184200,0,1,46.3678287,46.89473585,46.32927452,46.66726618,120289400
2/15/2011,359.19,359.97,357.55,359.9,10149100,0,1,46.16092126,46.26116214,45.95015841,46.25216616,71043700
2/14/2011,356.79,359.48,356.71,359.18,11086300,0,1,45.85248781,46.19819031,45.8422067,46.15963613,77604100
